,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
329,Ricettepercaso,817787089,779402026405007361,"[43.70944843, 10.40574389]",43.70944843,10.40574389,Fri Sep 23 19:28:18 +0000 2016,"Puccia salentina!
#streetfood #italianfood #foodies #instagood #stazioneleopolda #igerspisa… https://t.co/wM9YwBmm1D",17
330,maza3789,100862585,779282516280827905,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Fri Sep 23 11:33:24 +0000 2016,"por fin encontré una buena sombra para entender una córnea vascularizada, brillante, lisa,… https://t.co/hOcoubuzIs",3
331,SoniaSpadetto,1227634392,782680351021858817,"[43.7136242, 10.3951943]",43.713624200000005,10.395194300000002,Sun Oct 02 20:35:11 +0000 2016,Se l'eccedenza e triste il poco a volte è straordinario,18
332,SoniaSpadetto,1227634392,779844588617994240,"[43.7136311, 10.3952639]",43.7136311,10.395263900000002,Sun Sep 25 00:46:53 +0000 2016,Qua litigano perché tutti vogliono pagare da bere,18
333,SoniaSpadetto,1227634392,781597560263827456,"[43.7136242, 10.3951943]",43.713624200000005,10.395194300000002,Thu Sep 29 20:52:34 +0000 2016,Unipi https://t.co/ApebFiGJ9g,18
334,betuleceozdemir,480829253,781043898898669568,"[43.7229514, 10.39497213]",43.7229514,10.39497213,Wed Sep 28 08:12:31 +0000 2016,"I'm at Pisa Kulesi in Pisa, PI w/ @mberksokur @kurnazkoray https://t.co/3XbVTS4HwL https://t.co/9VZuW4CxQ4",3
335,_rileyelliott,3229260733,780102083215290369,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Sep 25 17:50:04 +0000 2016,Pisa's prettier at an angle @ Leaning Tower of Pisa https://t.co/SB3fVhKOVe,3
336,emaper,45574658,781531026371801088,"[43.716191, 10.40160104]",43.716190999999995,10.40160104,Thu Sep 29 16:28:11 +0000 2016,"E LEGGIMI.

Ti guardo dall'alto della concentrazione,
intenta a scrivere cento parole,
sperando,… https://t.co/yMCpvcApcS",4
337,emaper,45574658,781531713457516548,"[43.716191, 10.40160104]",43.716190999999995,10.40160104,Thu Sep 29 16:30:55 +0000 2016,"E LEGGIMI.

Ti guardo dall'alto della concentrazione,
intenta a scrivere cento parole,
sperando,… https://t.co/AXpFeI3T7F",4
338,partialtojam,19172366,780471388343640064,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Mon Sep 26 18:17:34 +0000 2016,Pisa @ Leaning Tower of Pisa https://t.co/7D6GgfbZiI,3
339,egallizzi,200690211,780226458610495488,"[43.7159195, 10.4019098]",43.7159195,10.401909800000002,Mon Sep 26 02:04:18 +0000 2016,"#pisa #italy #italia #travel ...a cada paso sientes otro deja-vu... @ Ponte di Mezzo, Pisa https://t.co/3rcg12Lmvu",4
340,AndreaAnfossi,426812990,779681767036968960,"[43.7223592, 10.3962819]",43.7223592,10.3962819,Sat Sep 24 13:59:53 +0000 2016,#pisa #piazzadeimiracoli #place #palace #tower #art #travel #culture #italy #sun #sky #september… https://t.co/zADk2oxd8s,3
341,BuuenaOnda,310861006,782692725154013184,"[43.7167, 10.3833]",43.7167,10.3833,Sun Oct 02 21:24:22 +0000 2016,"'Against the grain should be a way of life.
What's worth the prize is always worth the fight' ✨… https://t.co/NN2WU52fxW",1
342,JoelleLorenzo,60225752,780167262066110465,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Sep 25 22:09:04 +0000 2016,Still super confused why I saw a thousand tourists with their hands… https://t.co/AIvFKpf4Qg,3
343,mesutis,76470614,781477901216735232,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Thu Sep 29 12:57:05 +0000 2016,Pisa ❤️ @ Leaning Tower of Pisa https://t.co/cladtP4JnP,3
344,historiasviajar,367393299,780822952300441600,"[43.7167, 10.3833]",43.7167,10.3833,Tue Sep 27 17:34:33 +0000 2016,"Eh felicidade por ver a Torre ""torta"" de Pisa!!!! 
Conheça mais da Itália nos posts do blog… https://t.co/Oik0U6tRob",1
345,marcgarraway,27929568,782496533916839936,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Oct 02 08:24:46 +0000 2016,#LeaningTowerOfPisa #Pisa #Tower #Italy #Holiday @ Leaning Tower of Pisa https://t.co/eF1DtQFQQj,3
346,travelbloggerES,2883931558,780078898016980992,"[43.7167, 10.3833]",43.7167,10.3833,Sun Sep 25 16:17:57 +0000 2016,"#Repost doyaeven
🇬🇧🇺🇸 Do ya even... Sight see.
🇪🇸 incluso así... Turismo.
.
#iamtb #pisa… https://t.co/ulx2FsWqjQ",1
347,050Dave,273533610,780135930313269248,"[43.711258, 10.38432878]",43.711258,10.38432878,Sun Sep 25 20:04:34 +0000 2016,@Emergenza24 cioè la coda di 2h totali non l'ho fatta??? Tarate i sistemi... Cmq bona serata/passo e chiudo,-1
348,050Dave,273533610,782277980487819264,"[43.72167704, 10.40195164]",43.72167704,10.40195164,Sat Oct 01 17:56:19 +0000 2016,Il #M5s pericolo per la #democrazia?,9
349,simonc1085,3090897721,782205856993669120,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Oct 01 13:09:43 +0000 2016,Leaning Tower of Pisa!! 🇮🇹 @ Leaning Tower of Pisa https://t.co/4XUU3vLKgJ,3
350,ginlambruschi,2611650765,782181776890486784,"[43.69897, 10.39904]",43.69897,10.39904,Sat Oct 01 11:34:02 +0000 2016,"Airport look ✈️✨ ( dress/ sweatshirt @moschino , backpack @pomikaki ) @ Aeroporto Galileo… https://t.co/v6tSfMKDZv",5
351,IvanMata,33736235,780430631901749249,"[43.72040817, 10.39710583]",43.72040817,10.39710583,Mon Sep 26 15:35:37 +0000 2016,"Que un torre famosa... Según (@ Pisa in Pisa, PI) https://t.co/ELrBeKa7lg",3
